Username,Datetime,Tweet,clean_tweet
MarkEsso8,2022-12-19 10:26:56+00:00,"Kesuksesan Qatar menghelat Piala Dunia 2022 menjadi pelecut bagi Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir agar Indonesia yang akan menjadi tuan rumah Piala Dunia U-20 tahun 2023 bisa menyamai atau bahkan lebih baik.

@erickthohir 
#BangkitBersamaET https://t.co/EJx8rIyodu","Kesuksesan Qatar menghelat Piala Dunia 2022 menjadi pelecut bagi Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir agar Indonesia yang akan menjadi tuan rumah Piala Dunia U-20 tahun 2023 bisa menyamai atau bahkan lebih baik.

 
#BangkitBersamaET https://t.co/EJx8rIyodu"
txtdrlingkungan,2022-12-19 08:48:28+00:00,"Yang jadi pertanyaan adalah, ke depannya Indonesia gimana?

Yap, Indonesia tahun depan bakal jadi tuan rumah Piala Dunia U-20 2023, gengs! Meskipun Menpora siap tunduk sama aturan FIFA, tetap ada dua masalah:
1. Kualitas rumput
2. Kuantitas sampah plastik

https://t.co/DZUA3v8Acf","Yang jadi pertanyaan adalah, ke depannya Indonesia gimana?

Yap, Indonesia tahun depan bakal jadi tuan rumah Piala Dunia U-20 2023, gengs! Meskipun Menpora siap tunduk sama aturan FIFA, tetap ada dua masalah:
1. Kualitas rumput
2. Kuantitas sampah plastik

https://t.co/DZUA3v8Acf"
Gelang_Alit2,2022-12-19 04:25:57+00:00,"Insyaallah tahun depan, giliran kita memberikan yang terbaik Indonesia diberikan kesempatan menjadi tuan rumah Piala Dunia @FIFAWorldCup U-20,"" ungkapnya. 

@erickthohir
#BangkitBersamaET https://t.co/2TCB2iu0vH","Insyaallah tahun depan, giliran kita memberikan yang terbaik Indonesia diberikan kesempatan menjadi tuan rumah Piala Dunia U-20,"" ungkapnya. 


#BangkitBersamaET https://t.co/2TCB2iu0vH"
Renji_Blues,2022-12-18 14:08:48+00:00,"Taun depan pas Indonesia jadi tuan rumah Piala Dunia U-20, opening ceremony-nya bakal selevel Asian Games kemaren gak ya?","Taun depan pas Indonesia jadi tuan rumah Piala Dunia U-20, opening ceremony-nya bakal selevel Asian Games kemaren gak ya?"
AntoniusCDN,2022-12-18 12:30:16+00:00,"Perhelatan piala dunia ini moment kita belajar dimana Indonesia menjadi tuan rumah piala dunia U 20.

@erickthohir 
#BangkitBersamaET https://t.co/gnBjqfFiPw","Perhelatan piala dunia ini moment kita belajar dimana Indonesia menjadi tuan rumah piala dunia U 20.

 
#BangkitBersamaET https://t.co/gnBjqfFiPw"
detikcom,2022-12-17 17:07:13+00:00,Indonesia akan menjadi tuan rumah Piala Dunia U-20 2023. Ketua Komite Olimpiade Indonesia (KOI) Raja Sapta Oktohari menitip pesan untuk panitia. https://t.co/tL9Gkhz5KU,Indonesia akan menjadi tuan rumah Piala Dunia U-20 2023. Ketua Komite Olimpiade Indonesia (KOI) Raja Sapta Oktohari menitip pesan untuk panitia. https://t.co/tL9Gkhz5KU
detiksport,2022-12-17 14:37:00+00:00,Indonesia akan menjadi tuan rumah Piala Dunia U-20 2023. Ketua Komite Olimpiade Indonesia (KOI) Raja Sapta Oktohari menitip pesan untuk panitia. https://t.co/2vLfjC23GA,Indonesia akan menjadi tuan rumah Piala Dunia U-20 2023. Ketua Komite Olimpiade Indonesia (KOI) Raja Sapta Oktohari menitip pesan untuk panitia. https://t.co/2vLfjC23GA
erickthohir,2022-12-14 11:57:53+00:00,"Bertemu teman lama, Chief Investment Officer Qatar Investment Authority untuk Asia, Sheikh Faisal Thani Al-Thani. 

Kerja sama di bidang olahraga dengan Qatar sebagai tuan rumah Piala Dunia, akan bermanfaat bagi kita dalam menggelar Piala Dunia U-20 tahun depan. https://t.co/4ycyUAwaP0","Bertemu teman lama, Chief Investment Officer Qatar Investment Authority untuk Asia, Sheikh Faisal Thani Al-Thani. 

Kerja sama di bidang olahraga dengan Qatar sebagai tuan rumah Piala Dunia, akan bermanfaat bagi kita dalam menggelar Piala Dunia U-20 tahun depan. https://t.co/4ycyUAwaP0"
Doneh,2022-12-14 07:09:59+00:00,"Maroko bagi2 tiket gratis, timnasnya melaju ke semi final. Se.. Mi.. Fi.. Nal..

Disini, jadi peserta Piala Dunia U-20 jalur tuan rumah aja udah bangga meski sistem sepakbolanya busuk ya gak peduli. Penting bangga atau bangga tuh?","Maroko bagi2 tiket gratis, timnasnya melaju ke semi final. Se.. Mi.. Fi.. Nal..

Disini, jadi peserta Piala Dunia U-20 jalur tuan rumah aja udah bangga meski sistem sepakbolanya busuk ya gak peduli. Penting bangga atau bangga tuh?"
De_Liput,2022-12-13 10:16:06+00:00,Indonesia Tuan Rumah Piala Dunia U 20 2023 | Liputan6 https://t.co/ni1OsqCRAh,Indonesia Tuan Rumah Piala Dunia U 20 2023 | Liputan6 https://t.co/ni1OsqCRAh
