Username,Datetime,Tweet,Clean,Tokenization,Lowercase,Normalize,Stopword,Hasil
FindingNemo1908,2023-03-29 15:12:02+00:00,@ganjarpranowo FIFA: Indonesia Batal Jadi Tuan Rumah Piala Dunia U-20 2023 https://t.co/E6WuAhWMsm,FIFA Indonesia Batal Jadi Tuan Rumah Piala Dunia ,"['FIFA', 'Indonesia', 'Batal', 'Jadi', 'Tuan', 'Rumah', 'Piala', 'Dunia']",fifa indonesia batal jadi tuan rumah piala dunia,"['fifa', 'indonesia', 'batal', 'jadi', 'tuan', 'rumah', 'piala', 'dunia']","['fifa', 'indonesia', 'batal', 'tuan', 'rumah', 'piala', 'dunia']",fifa indonesia batal tuan rumah piala dunia
NarasiNewsroom,2023-03-29 15:09:50+00:00,"#BREAKINGNEWS

FIFA: Indonesia resmi batal menjadi tuan rumah Piala Dunia U-20.

Tuan rumah pengganti akan diumumkan kemudian. https://t.co/aB56BR5vsR",BREAKINGNEWS FIFA Indonesia resmi batal menjadi tuan rumah Piala Dunia Tuan rumah pengganti akan diumumkan kemudian,"['BREAKINGNEWS', 'FIFA', 'Indonesia', 'resmi', 'batal', 'menjadi', 'tuan', 'rumah', 'Piala', 'Dunia', 'Tuan', 'rumah', 'pengganti', 'akan', 'diumumkan', 'kemudian']",breakingnews fifa indonesia resmi batal menjadi tuan rumah piala dunia tuan rumah pengganti akan diumumkan kemudian,"['breakingnews', 'fifa', 'indonesia', 'resmi', 'batal', 'menjadi', 'tuan', 'rumah', 'piala', 'dunia', 'tuan', 'rumah', 'pengganti', 'akan', 'diumumkan', 'kemudian']","['breakingnews', 'fifa', 'indonesia', 'resmi', 'batal', 'tuan', 'rumah', 'piala', 'dunia', 'tuan', 'rumah', 'pengganti', 'diumumkan']",breakingnews fifa indonesia resmi batal tuan rumah piala dunia tuan rumah pengganti diumumkan
putrategar2709,2023-03-29 15:09:32+00:00,"BREAKING NEWS!

FIFA: Indonesia Batal Jadi Tuan Rumah Piala Dunia U-20 2023
https://t.co/frh0kJQpMZ",BREAKING NEWS FIFA Indonesia Batal Jadi Tuan Rumah Piala Dunia ,"['BREAKING', 'NEWS', 'FIFA', 'Indonesia', 'Batal', 'Jadi', 'Tuan', 'Rumah', 'Piala', 'Dunia']",breaking news fifa indonesia batal jadi tuan rumah piala dunia,"['breaking', 'news', 'fifa', 'indonesia', 'batal', 'jadi', 'tuan', 'rumah', 'piala', 'dunia']","['breaking', 'news', 'fifa', 'indonesia', 'batal', 'tuan', 'rumah', 'piala', 'dunia']",breaking news fifa indonesia batal tuan rumah piala dunia
UpdateBolabola,2023-03-29 15:09:20+00:00,FIFA resmi umumkan bahwa Indonesia batal menjadi tuan rumah FIFA U-20 World Cup Indonesia 2023.,FIFA resmi umumkan bahwa Indonesia batal menjadi tuan rumah FIFA World Cup Indonesia ,"['FIFA', 'resmi', 'umumkan', 'bahwa', 'Indonesia', 'batal', 'menjadi', 'tuan', 'rumah', 'FIFA', 'World', 'Cup', 'Indonesia']",fifa resmi umumkan bahwa indonesia batal menjadi tuan rumah fifa world cup indonesia,"['fifa', 'resmi', 'umumkan', 'bahwa', 'indonesia', 'batal', 'menjadi', 'tuan', 'rumah', 'fifa', 'world', 'cup', 'indonesia']","['fifa', 'resmi', 'umumkan', 'indonesia', 'batal', 'tuan', 'rumah', 'fifa', 'world', 'cup', 'indonesia']",fifa resmi umumkan indonesia batal tuan rumah fifa world cup indonesia
CNNIndonesia,2023-03-29 15:08:27+00:00,"#BREAKINGNEWS 
FIFA: Indonesia Batal Jadi Tuan Rumah Piala Dunia U-20 2023
https://t.co/rqN3VcmKdK",BREAKINGNEWS FIFA Indonesia Batal Jadi Tuan Rumah Piala Dunia ,"['BREAKINGNEWS', 'FIFA', 'Indonesia', 'Batal', 'Jadi', 'Tuan', 'Rumah', 'Piala', 'Dunia']",breakingnews fifa indonesia batal jadi tuan rumah piala dunia,"['breakingnews', 'fifa', 'indonesia', 'batal', 'jadi', 'tuan', 'rumah', 'piala', 'dunia']","['breakingnews', 'fifa', 'indonesia', 'batal', 'tuan', 'rumah', 'piala', 'dunia']",breakingnews fifa indonesia batal tuan rumah piala dunia
FaktaSepakbola,2023-03-29 15:07:18+00:00,"🚨🚨🚨

𝐁𝐑𝐄𝐀𝐊𝐈𝐍𝐆: Piala Dunia U-20 2023 telah resmi batal diadakan di Indonesia!

FIFA telah mengumumkan lewat website mereka, FIFA telah menghapus Indonesia sebagai tuan rumah.

Pamit undur diri 🙏💔 https://t.co/vhJ7muoork",Piala Dunia  telah resmi batal diadakan di Indonesia FIFA telah mengumumkan lewat website mereka FIFA telah menghapus Indonesia sebagai tuan rumah Pamit undur diri,"['Piala', 'Dunia', 'telah', 'resmi', 'batal', 'diadakan', 'di', 'Indonesia', 'FIFA', 'telah', 'mengumumkan', 'lewat', 'website', 'mereka', 'FIFA', 'telah', 'menghapus', 'Indonesia', 'sebagai', 'tuan', 'rumah', 'Pamit', 'undur', 'diri']",piala dunia telah resmi batal diadakan di indonesia fifa telah mengumumkan lewat website mereka fifa telah menghapus indonesia sebagai tuan rumah pamit undur diri,"['piala', 'dunia', 'telah', 'resmi', 'batal', 'diadakan', 'di', 'indonesia', 'fifa', 'telah', 'mengumumkan', 'lewat', 'website', 'mereka', 'fifa', 'telah', 'menghapus', 'indonesia', 'sebagai', 'tuan', 'rumah', 'pamit', 'undur', 'diri']","['piala', 'dunia', 'resmi', 'batal', 'diadakan', 'indonesia', 'fifa', 'mengumumkan', 'website', 'fifa', 'menghapus', 'indonesia', 'tuan', 'rumah', 'pamit', 'undur']",piala dunia resmi batal diadakan indonesia fifa mengumumkan website fifa menghapus indonesia tuan rumah pamit undur
SupirPete2,2023-03-29 15:06:01+00:00,"FIFA removes Indonesia as host of FIFA U-20 World Cup 2023™ 

RESMI. Indonesia batal jadi tuan rumah. 😭😭😭😭 https://t.co/a7gQsKuRoo",FIFA removes Indonesia as host of FIFA World Cup  RESMI Indonesia batal jadi tuan rumah,"['FIFA', 'removes', 'Indonesia', 'as', 'host', 'of', 'FIFA', 'World', 'Cup', 'RESMI', 'Indonesia', 'batal', 'jadi', 'tuan', 'rumah']",fifa removes indonesia as host of fifa world cup resmi indonesia batal jadi tuan rumah,"['fifa', 'removes', 'indonesia', 'as', 'host', 'of', 'fifa', 'world', 'cup', 'resmi', 'indonesia', 'batal', 'jadi', 'tuan', 'rumah']","['fifa', 'removes', 'indonesia', 'as', 'host', 'of', 'fifa', 'world', 'cup', 'resmi', 'indonesia', 'batal', 'tuan', 'rumah']",fifa removes indonesia as host of fifa world cup resmi indonesia batal tuan rumah
sonoffabrizio,2023-03-29 15:05:22+00:00,"[BREAKING]

FIFA telah memutuskan bahwa gelaran Piala Dunia U-20 batal diselenggarakan di Indonesia. 

Selain itu, FIFA juga memberikan sanksi ke Indonesia, salah satunya adalah mengeluarkan Indonesia dari keanggotaan FIFA.

[Trust Me Bro]",BREAKING FIFA telah memutuskan bahwa gelaran Piala Dunia batal diselenggarakan di Indonesia Selain itu FIFA juga memberikan sanksi ke Indonesia salah satunya adalah mengeluarkan Indonesia dari keanggotaan FIFA Trust Me Bro,"['BREAKING', 'FIFA', 'telah', 'memutuskan', 'bahwa', 'gelaran', 'Piala', 'Dunia', 'batal', 'diselenggarakan', 'di', 'Indonesia', 'Selain', 'itu', 'FIFA', 'juga', 'memberikan', 'sanksi', 'ke', 'Indonesia', 'salah', 'satunya', 'adalah', 'mengeluarkan', 'Indonesia', 'dari', 'keanggotaan', 'FIFA', 'Trust', 'Me', 'Bro']",breaking fifa telah memutuskan bahwa gelaran piala dunia batal diselenggarakan di indonesia selain itu fifa juga memberikan sanksi ke indonesia salah satunya adalah mengeluarkan indonesia dari keanggotaan fifa trust me bro,"['breaking', 'fifa', 'telah', 'memutuskan', 'bahwa', 'gelaran', 'piala', 'dunia', 'batal', 'diselenggarakan', 'di', 'indonesia', 'selain', 'itu', 'fifa', 'juga', 'memberikan', 'sanksi', 'ke', 'indonesia', 'salah', 'satunya', 'adalah', 'mengeluarkan', 'indonesia', 'dari', 'keanggotaan', 'fifa', 'trust', 'me', 'saudara', 'laki-laki']","['breaking', 'fifa', 'memutuskan', 'gelaran', 'piala', 'dunia', 'batal', 'diselenggarakan', 'indonesia', 'fifa', 'sanksi', 'indonesia', 'salah', 'satunya', 'mengeluarkan', 'indonesia', 'keanggotaan', 'fifa', 'trust', 'me', 'saudara', 'laki-laki']",breaking fifa memutuskan gelaran piala dunia batal diselenggarakan indonesia fifa sanksi indonesia salah satunya mengeluarkan indonesia keanggotaan fifa trust me saudara laki-laki
Thitipan_Mafia,2023-03-29 14:49:55+00:00,"Breaking News!
Arya Sinulingga : Situasi berat, kemungkinan kita dikicilkan dari Sepakbola Dunia
Fyi : Arya Sinulingga ini staff khusus Ketum PSSI Erick Tohir.
Bau Bau nya emang Piala Dunia U-20 batal digelar di Indonesia, Karena lagunya aja udah dihapus dari WEB FIFA. https://t.co/z2orLpQijH",Breaking News Arya Sinulingga Situasi berat kemungkinan kita dikicilkan dari Sepakbola Dunia Fyi Arya Sinulingga ini staff khusus Ketum PSSI Erick Tohir Bau Bau nya emang Piala Dunia batal digelar di Indonesia Karena lagunya aja udah dihapus dari WEB FIFA,"['Breaking', 'News', 'Arya', 'Sinulingga', 'Situasi', 'berat', 'kemungkinan', 'kita', 'dikicilkan', 'dari', 'Sepakbola', 'Dunia', 'Fyi', 'Arya', 'Sinulingga', 'ini', 'staff', 'khusus', 'Ketum', 'PSSI', 'Erick', 'Tohir', 'Bau', 'Bau', 'nya', 'emang', 'Piala', 'Dunia', 'batal', 'digelar', 'di', 'Indonesia', 'Karena', 'lagunya', 'aja', 'udah', 'dihapus', 'dari', 'WEB', 'FIFA']",breaking news arya sinulingga situasi berat kemungkinan kita dikicilkan dari sepakbola dunia fyi arya sinulingga ini staff khusus ketum pssi erick tohir bau bau nya emang piala dunia batal digelar di indonesia karena lagunya aja udah dihapus dari web fifa,"['breaking', 'news', 'arya', 'sinulingga', 'situasi', 'berat', 'kemungkinan', 'kita', 'dikicilkan', 'dari', 'sepakbola', 'dunia', 'sebagai', 'informasi', 'arya', 'sinulingga', 'ini', 'staff', 'khusus', 'ketum', 'pssi', 'erick', 'tohir', 'bau', 'bau', 'nya', 'emang', 'piala', 'dunia', 'batal', 'digelar', 'di', 'indonesia', 'karena', 'lagunya', 'saja', 'sudah', 'dihapus', 'dari', 'web', 'fifa']","['breaking', 'news', 'arya', 'sinulingga', 'situasi', 'berat', 'dikicilkan', 'sepakbola', 'dunia', 'informasi', 'arya', 'sinulingga', 'staff', 'ketum', 'pssi', 'erick', 'tohir', 'bau', 'bau', 'emang', 'piala', 'dunia', 'batal', 'digelar', 'indonesia', 'lagunya', 'dihapus', 'web', 'fifa']",breaking news arya sinulingga situasi berat dikicilkan sepakbola dunia informasi arya sinulingga staff ketum pssi erick tohir bau bau emang piala dunia batal digelar indonesia lagunya dihapus web fifa
NetworkMalang,2023-03-29 13:56:01+00:00,Akhirnya Indonesia Batal Jadi Tuan Rumah Piala Dunia U-20? #FIFA #PSSI  https://t.co/uAeJOjPNMc,Akhirnya Indonesia Batal Jadi Tuan Rumah Piala Dunia FIFA PSSI,"['Akhirnya', 'Indonesia', 'Batal', 'Jadi', 'Tuan', 'Rumah', 'Piala', 'Dunia', 'FIFA', 'PSSI']",akhirnya indonesia batal jadi tuan rumah piala dunia fifa pssi,"['akhirnya', 'indonesia', 'batal', 'jadi', 'tuan', 'rumah', 'piala', 'dunia', 'fifa', 'pssi']","['indonesia', 'batal', 'tuan', 'rumah', 'piala', 'dunia', 'fifa', 'pssi']",indonesia batal tuan rumah piala dunia fifa pssi
medcom_id,2023-03-29 12:00:03+00:00,"Koordinator Save Our Soccer Akmal Marhali meyakini Indonesia batal menjadi tuan rumah Piala Dunia U-20. Menurutnya penolakan terhadap Timnas Israel didalamnya terkandung unsur politik, dan FIFA sangat antiterhadap hal-hal tersebut

#FIFA #Israel #U20 

https://t.co/7NNk4fp9UI",Koordinator Save Our Soccer Akmal Marhali meyakini Indonesia batal menjadi tuan rumah Piala Dunia Menurutnya penolakan terhadap Timnas Israel didalamnya terkandung unsur politik dan FIFA sangat antiterhadap hal hal tersebut FIFA Israel,"['Koordinator', 'Save', 'Our', 'Soccer', 'Akmal', 'Marhali', 'meyakini', 'Indonesia', 'batal', 'menjadi', 'tuan', 'rumah', 'Piala', 'Dunia', 'Menurutnya', 'penolakan', 'terhadap', 'Timnas', 'Israel', 'didalamnya', 'terkandung', 'unsur', 'politik', 'dan', 'FIFA', 'sangat', 'antiterhadap', 'hal', 'hal', 'tersebut', 'FIFA', 'Israel']",koordinator save our soccer akmal marhali meyakini indonesia batal menjadi tuan rumah piala dunia menurutnya penolakan terhadap timnas israel didalamnya terkandung unsur politik dan fifa sangat antiterhadap hal hal tersebut fifa israel,"['koordinator', 'save', 'our', 'soccer', 'akmal', 'marhali', 'meyakini', 'indonesia', 'batal', 'menjadi', 'tuan', 'rumah', 'piala', 'dunia', 'menurutnya', 'penolakan', 'terhadap', 'timnas', 'israel', 'didalamnya', 'terkandung', 'unsur', 'politik', 'dan', 'fifa', 'sangat', 'antiterhadap', 'hal', 'hal', 'tersebut', 'fifa', 'israel']","['koordinator', 'save', 'our', 'soccer', 'akmal', 'marhali', 'indonesia', 'batal', 'tuan', 'rumah', 'piala', 'dunia', 'menurutnya', 'penolakan', 'timnas', 'israel', 'didalamnya', 'terkandung', 'unsur', 'politik', 'fifa', 'antiterhadap', 'fifa', 'israel']",koordinator save our soccer akmal marhali indonesia batal tuan rumah piala dunia menurutnya penolakan timnas israel didalamnya terkandung unsur politik fifa antiterhadap fifa israel
adawartacom,2023-03-29 10:48:00+00:00,"FIFA Hapus Lagu Resmi Piala Dunia U-20 2023 Karya Musisi Indonesia, FIX BATAL NIH? 
https://t.co/F9MCEc82ft",FIFA Hapus Lagu Resmi Piala Dunia  Karya Musisi Indonesia FIX BATAL NIH,"['FIFA', 'Hapus', 'Lagu', 'Resmi', 'Piala', 'Dunia', 'Karya', 'Musisi', 'Indonesia', 'FIX', 'BATAL', 'NIH']",fifa hapus lagu resmi piala dunia karya musisi indonesia fix batal nih,"['fifa', 'hapus', 'lagu', 'resmi', 'piala', 'dunia', 'karya', 'musisi', 'indonesia', 'fix', 'batal', 'ini']","['fifa', 'hapus', 'lagu', 'resmi', 'piala', 'dunia', 'karya', 'musisi', 'indonesia', 'fix', 'batal']",fifa hapus lagu resmi piala dunia karya musisi indonesia fix batal
TRANS7,2023-03-29 09:04:58+00:00,"Pengundian babak grup Piala Dunia FIFA U-20 teracam batal terlaksana di Indonesia, pemerintah pun coba cari cara agar pertandingannya tetap dapat berjalan. #Redaksi https://t.co/RgN50yOa6x",Pengundian babak grup Piala Dunia FIFA teracam batal terlaksana di Indonesia pemerintah pun coba cari cara agar pertandingannya tetap dapat berjalan Redaksi,"['Pengundian', 'babak', 'grup', 'Piala', 'Dunia', 'FIFA', 'teracam', 'batal', 'terlaksana', 'di', 'Indonesia', 'pemerintah', 'pun', 'coba', 'cari', 'cara', 'agar', 'pertandingannya', 'tetap', 'dapat', 'berjalan', 'Redaksi']",pengundian babak grup piala dunia fifa teracam batal terlaksana di indonesia pemerintah pun coba cari cara agar pertandingannya tetap dapat berjalan redaksi,"['pengundian', 'babak', 'grup', 'piala', 'dunia', 'fifa', 'teracam', 'batal', 'terlaksana', 'di', 'indonesia', 'pemerintah', 'pun', 'coba', 'cari', 'cara', 'agar', 'pertandingannya', 'tetap', 'dapat', 'berjalan', 'redaksi']","['pengundian', 'babak', 'grup', 'piala', 'dunia', 'fifa', 'teracam', 'batal', 'terlaksana', 'indonesia', 'pemerintah', 'coba', 'cari', 'pertandingannya', 'berjalan', 'redaksi']",pengundian babak grup piala dunia fifa teracam batal terlaksana indonesia pemerintah coba cari pertandingannya berjalan redaksi
KetiNurmayanti,2023-03-29 07:55:01+00:00,"banyak waktu dan biaya yang dihabiskan dalam persiapan menyambut ajang dua tahunan ini, Indonesia akan menanggung rugi yang begitu besar jika  Piala Dunia U-20 batal

@erickthohir

Erick Thohir Ke FIFA
Kita Doakan Erick https://t.co/mdjBV4qCZt",banyak waktu dan biaya yang dihabiskan dalam persiapan menyambut ajang dua tahunan ini Indonesia akan menanggung rugi yang begitu besar jika Piala Dunia batal Erick Thohir Ke FIFA Kita Doakan Erick,"['banyak', 'waktu', 'dan', 'biaya', 'yang', 'dihabiskan', 'dalam', 'persiapan', 'menyambut', 'ajang', 'dua', 'tahunan', 'ini', 'Indonesia', 'akan', 'menanggung', 'rugi', 'yang', 'begitu', 'besar', 'jika', 'Piala', 'Dunia', 'batal', 'Erick', 'Thohir', 'Ke', 'FIFA', 'Kita', 'Doakan', 'Erick']",banyak waktu dan biaya yang dihabiskan dalam persiapan menyambut ajang dua tahunan ini indonesia akan menanggung rugi yang begitu besar jika piala dunia batal erick thohir ke fifa kita doakan erick,"['banyak', 'waktu', 'dan', 'biaya', 'yang', 'dihabiskan', 'dalam', 'persiapan', 'menyambut', 'ajang', 'dua', 'tahunan', 'ini', 'indonesia', 'akan', 'menanggung', 'rugi', 'yang', 'begitu', 'besar', 'jika', 'piala', 'dunia', 'batal', 'erick', 'thohir', 'ke', 'fifa', 'kita', 'doakan', 'erick']","['waktu', 'biaya', 'dihabiskan', 'persiapan', 'menyambut', 'ajang', 'tahunan', 'indonesia', 'menanggung', 'rugi', 'piala', 'dunia', 'batal', 'erick', 'thohir', 'fifa', 'doakan', 'erick']",waktu biaya dihabiskan persiapan menyambut ajang tahunan indonesia menanggung rugi piala dunia batal erick thohir fifa doakan erick
NarulaUdin,2023-03-29 07:55:00+00:00,"Sebab jika Piala Dunia U-20 batal, Indonesia akan menanggung rugi yang begitu besar,"" tutur Erick Thohir.

@erickthohir

Erick Thohir Ke FIFA
Kita Doakan Erick https://t.co/8E2UWQNesY",Sebab jika Piala Dunia batal Indonesia akan menanggung rugi yang begitu besar tutur Erick Thohir Erick Thohir Ke FIFA Kita Doakan Erick,"['Sebab', 'jika', 'Piala', 'Dunia', 'batal', 'Indonesia', 'akan', 'menanggung', 'rugi', 'yang', 'begitu', 'besar', 'tutur', 'Erick', 'Thohir', 'Erick', 'Thohir', 'Ke', 'FIFA', 'Kita', 'Doakan', 'Erick']",sebab jika piala dunia batal indonesia akan menanggung rugi yang begitu besar tutur erick thohir erick thohir ke fifa kita doakan erick,"['sebab', 'jika', 'piala', 'dunia', 'batal', 'indonesia', 'akan', 'menanggung', 'rugi', 'yang', 'begitu', 'besar', 'tutur', 'erick', 'thohir', 'erick', 'thohir', 'ke', 'fifa', 'kita', 'doakan', 'erick']","['piala', 'dunia', 'batal', 'indonesia', 'menanggung', 'rugi', 'erick', 'thohir', 'erick', 'thohir', 'fifa', 'doakan', 'erick']",piala dunia batal indonesia menanggung rugi erick thohir erick thohir fifa doakan erick
yusuf_dumdum,2023-03-29 07:48:31+00:00,Banyak berita gak jelas mengatakan Indonesia batal jd tuan rumah piala dunia U-20. Padhal yg batal itu baru drawing di Bali. Solusi terkait timnas Israel ini masih dicari jalan tengahnya. Itu lah mengapa Presiden @jokowi minta @erickthohir temui FIFA. #PrayAndHope 🤲 https://t.co/SIcePTe02J,Banyak berita gak jelas mengatakan Indonesia batal jd tuan rumah piala dunia Padhal yg batal itu baru drawing di Bali Solusi terkait timnas Israel ini masih dicari jalan tengahnya Itu lah mengapa Presiden minta temui FIFA PrayAndHope,"['Banyak', 'berita', 'gak', 'jelas', 'mengatakan', 'Indonesia', 'batal', 'jd', 'tuan', 'rumah', 'piala', 'dunia', 'Padhal', 'yg', 'batal', 'itu', 'baru', 'drawing', 'di', 'Bali', 'Solusi', 'terkait', 'timnas', 'Israel', 'ini', 'masih', 'dicari', 'jalan', 'tengahnya', 'Itu', 'lah', 'mengapa', 'Presiden', 'minta', 'temui', 'FIFA', 'PrayAndHope']",banyak berita gak jelas mengatakan indonesia batal jd tuan rumah piala dunia padhal yg batal itu baru drawing di bali solusi terkait timnas israel ini masih dicari jalan tengahnya itu lah mengapa presiden minta temui fifa prayandhope,"['banyak', 'berita', 'tidak', 'jelas', 'mengatakan', 'indonesia', 'batal', 'jadi', 'tuan', 'rumah', 'piala', 'dunia', 'padhal', 'yang', 'batal', 'itu', 'baru', 'drawing', 'di', 'bali', 'solusi', 'terkait', 'timnas', 'israel', 'ini', 'masih', 'dicari', 'jalan', 'tengahnya', 'itu', 'lah', 'mengapa', 'presiden', 'minta', 'temui', 'fifa', 'prayandhope']","['berita', 'indonesia', 'batal', 'tuan', 'rumah', 'piala', 'dunia', 'padhal', 'batal', 'drawing', 'bali', 'solusi', 'terkait', 'timnas', 'israel', 'dicari', 'jalan', 'tengahnya', 'presiden', 'temui', 'fifa', 'prayandhope']",berita indonesia batal tuan rumah piala dunia padhal batal drawing bali solusi terkait timnas israel dicari jalan tengahnya presiden temui fifa prayandhope
turunminum_id,2023-03-29 07:27:13+00:00,"Sebab jika Piala Dunia U-20 batal digelar di Indonesia pasti sektor pariwisata akan terdampak karena event olahraga besar seperti Piala Dunia biasanya mendatangkan wisatawan dalam jumlah banyak.

#sandiagauno #sandiuno #fifa #pssi #pialadunia #pildunu20 #infobola #turunminum",Sebab jika Piala Dunia batal digelar di Indonesia pasti sektor pariwisata akan terdampak karena event olahraga besar seperti Piala Dunia biasanya mendatangkan wisatawan dalam jumlah banyak sandiagauno sandiuno fifa pssi pialadunia pildunu infobola turunminum,"['Sebab', 'jika', 'Piala', 'Dunia', 'batal', 'digelar', 'di', 'Indonesia', 'pasti', 'sektor', 'pariwisata', 'akan', 'terdampak', 'karena', 'event', 'olahraga', 'besar', 'seperti', 'Piala', 'Dunia', 'biasanya', 'mendatangkan', 'wisatawan', 'dalam', 'jumlah', 'banyak', 'sandiagauno', 'sandiuno', 'fifa', 'pssi', 'pialadunia', 'pildunu', 'infobola', 'turunminum']",sebab jika piala dunia batal digelar di indonesia pasti sektor pariwisata akan terdampak karena event olahraga besar seperti piala dunia biasanya mendatangkan wisatawan dalam jumlah banyak sandiagauno sandiuno fifa pssi pialadunia pildunu infobola turunminum,"['sebab', 'jika', 'piala', 'dunia', 'batal', 'digelar', 'di', 'indonesia', 'pasti', 'sektor', 'pariwisata', 'akan', 'terdampak', 'karena', 'event', 'olahraga', 'besar', 'seperti', 'piala', 'dunia', 'biasanya', 'mendatangkan', 'wisatawan', 'dalam', 'jumlah', 'banyak', 'sandiagauno', 'sandiuno', 'fifa', 'pssi', 'pialadunia', 'pildunu', 'infobola', 'turunminum']","['piala', 'dunia', 'batal', 'digelar', 'indonesia', 'sektor', 'pariwisata', 'terdampak', 'event', 'olahraga', 'piala', 'dunia', 'wisatawan', 'sandiagauno', 'sandiuno', 'fifa', 'pssi', 'pialadunia', 'pildunu', 'infobola', 'turunminum']",piala dunia batal digelar indonesia sektor pariwisata terdampak event olahraga piala dunia wisatawan sandiagauno sandiuno fifa pssi pialadunia pildunu infobola turunminum
TrijayafmSby,2023-03-29 06:08:18+00:00,"Status tuan rumah Indonesia di Piala Dunia U-20 2023 terancam digantikan oleh negara lain menyusul dibatalkannya drawing Piala Dunia U-20 tahun ini oleh FIFA.

Seandainya batal digelar di Indonesia, FIFA harus segera menentukan tuan rumah Piala Dunia U-20 2023. https://t.co/Cd7wcwW7WB",Status tuan rumah Indonesia di Piala Dunia  terancam digantikan oleh negara lain menyusul dibatalkannya drawing Piala Dunia tahun ini oleh FIFA Seandainya batal digelar di Indonesia FIFA harus segera menentukan tuan rumah Piala Dunia ,"['Status', 'tuan', 'rumah', 'Indonesia', 'di', 'Piala', 'Dunia', 'terancam', 'digantikan', 'oleh', 'negara', 'lain', 'menyusul', 'dibatalkannya', 'drawing', 'Piala', 'Dunia', 'tahun', 'ini', 'oleh', 'FIFA', 'Seandainya', 'batal', 'digelar', 'di', 'Indonesia', 'FIFA', 'harus', 'segera', 'menentukan', 'tuan', 'rumah', 'Piala', 'Dunia']",status tuan rumah indonesia di piala dunia terancam digantikan oleh negara lain menyusul dibatalkannya drawing piala dunia tahun ini oleh fifa seandainya batal digelar di indonesia fifa harus segera menentukan tuan rumah piala dunia,"['status', 'tuan', 'rumah', 'indonesia', 'di', 'piala', 'dunia', 'terancam', 'digantikan', 'oleh', 'negara', 'lain', 'menyusul', 'dibatalkannya', 'drawing', 'piala', 'dunia', 'tahun', 'ini', 'oleh', 'fifa', 'seandainya', 'batal', 'digelar', 'di', 'indonesia', 'fifa', 'harus', 'segera', 'menentukan', 'tuan', 'rumah', 'piala', 'dunia']","['status', 'tuan', 'rumah', 'indonesia', 'piala', 'dunia', 'terancam', 'digantikan', 'negara', 'menyusul', 'dibatalkannya', 'drawing', 'piala', 'dunia', 'tahun', 'fifa', 'seandainya', 'batal', 'digelar', 'indonesia', 'fifa', 'menentukan', 'tuan', 'rumah', 'piala', 'dunia']",status tuan rumah indonesia piala dunia terancam digantikan negara menyusul dibatalkannya drawing piala dunia tahun fifa seandainya batal digelar indonesia fifa menentukan tuan rumah piala dunia
RiauNewsCom,2023-03-29 06:03:09+00:00,"Plt Menpora Sebut Piala Dunia U-20 2023 Bukan Skala Prioritas, Indonesia Tidak akan Kiamat Jika Batal - Riaunews https://t.co/qNNPnMsWCm 
FIFA - Peru - PSSI",Plt Menpora Sebut Piala Dunia  Bukan Skala Prioritas Indonesia Tidak akan Kiamat Jika Batal Riaunews FIFA Peru PSSI,"['Plt', 'Menpora', 'Sebut', 'Piala', 'Dunia', 'Bukan', 'Skala', 'Prioritas', 'Indonesia', 'Tidak', 'akan', 'Kiamat', 'Jika', 'Batal', 'Riaunews', 'FIFA', 'Peru', 'PSSI']",plt menpora sebut piala dunia bukan skala prioritas indonesia tidak akan kiamat jika batal riaunews fifa peru pssi,"['plt', 'menpora', 'sebut', 'piala', 'dunia', 'bukan', 'skala', 'prioritas', 'indonesia', 'tidak', 'akan', 'kiamat', 'jika', 'batal', 'riaunews', 'fifa', 'peru', 'pssi']","['plt', 'menpora', 'piala', 'dunia', 'skala', 'prioritas', 'indonesia', 'kiamat', 'batal', 'riaunews', 'fifa', 'peru', 'pssi']",plt menpora piala dunia skala prioritas indonesia kiamat batal riaunews fifa peru pssi
buddykuofficial,2023-03-29 05:23:10+00:00,"Banyak Sanksi Yang Menghantui Indonesia Jika Batal Gelar Piala Dunia U-20, Pengamat: Semoga Ketum PSSI Bisa Meloby FIFA https://t.co/R9d7d0Ynw6",Banyak Sanksi Yang Menghantui Indonesia Jika Batal Gelar Piala Dunia Pengamat Semoga Ketum PSSI Bisa Meloby FIFA,"['Banyak', 'Sanksi', 'Yang', 'Menghantui', 'Indonesia', 'Jika', 'Batal', 'Gelar', 'Piala', 'Dunia', 'Pengamat', 'Semoga', 'Ketum', 'PSSI', 'Bisa', 'Meloby', 'FIFA']",banyak sanksi yang menghantui indonesia jika batal gelar piala dunia pengamat semoga ketum pssi bisa meloby fifa,"['banyak', 'sanksi', 'yang', 'menghantui', 'indonesia', 'jika', 'batal', 'gelar', 'piala', 'dunia', 'pengamat', 'semoga', 'ketum', 'pssi', 'bisa', 'meloby', 'fifa']","['sanksi', 'menghantui', 'indonesia', 'batal', 'gelar', 'piala', 'dunia', 'pengamat', 'semoga', 'ketum', 'pssi', 'meloby', 'fifa']",sanksi menghantui indonesia batal gelar piala dunia pengamat semoga ketum pssi meloby fifa
